Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,Chrome 135.0.0.0,,,12-04-2025 21:52:57,12-04-2025 21:53:31,34.153s,FAILED
,,,,,,,
Test Cases/WEB/TC05_Login 05,Chrome 135.0.0.0,,,12-04-2025 21:52:57,12-04-2025 21:53:05,7.626s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 21:52:57,12-04-2025 21:52:59,1.706s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 21:52:59,12-04-2025 21:53:02,2.590s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 21:53:02,12-04-2025 21:53:02,0.797s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 21:53:02,12-04-2025 21:53:03,0.804s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 21:53:03,12-04-2025 21:53:04,0.350s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Chrome 135.0.0.0,,,12-04-2025 21:53:04,12-04-2025 21:53:05,0.926s,PASSED
closeBrowser(),Chrome 135.0.0.0,,,12-04-2025 21:53:05,12-04-2025 21:53:05,0.236s,PASSED
,,,,,,,
Test Cases/WEB/TC04_Login 04,Chrome 135.0.0.0,,,12-04-2025 21:53:05,12-04-2025 21:53:12,6.722s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 21:53:05,12-04-2025 21:53:06,0.738s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 21:53:06,12-04-2025 21:53:08,2.550s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 21:53:08,12-04-2025 21:53:09,0.911s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 21:53:09,12-04-2025 21:53:10,0.688s,PASSED
