Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_03,Chrome 135.0.0.0,,,12-04-2025 21:54:12,12-04-2025 21:54:44,32.415s,PASSED
,,,,,,,
Test Cases/WEB/TC15_Login_15,Chrome 135.0.0.0,,,12-04-2025 21:54:12,12-04-2025 21:54:19,7.345s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 21:54:12,12-04-2025 21:54:14,1.655s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 21:54:14,12-04-2025 21:54:16,2.528s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 21:54:16,12-04-2025 21:54:17,0.780s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 21:54:17,12-04-2025 21:54:18,0.777s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 21:54:18,12-04-2025 21:54:18,0.350s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Chrome 135.0.0.0,,,12-04-2025 21:54:18,12-04-2025 21:54:19,0.880s,PASSED
closeBrowser(),Chrome 135.0.0.0,,,12-04-2025 21:54:19,12-04-2025 21:54:19,0.192s,PASSED
,,,,,,,
Test Cases/WEB/TC14_Login_14,Chrome 135.0.0.0,,,12-04-2025 21:54:19,12-04-2025 21:54:26,6.482s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 21:54:19,12-04-2025 21:54:20,0.760s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 21:54:20,12-04-2025 21:54:23,2.516s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 21:54:23,12-04-2025 21:54:23,0.768s,PASSED
