Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_11,,,,13-04-2025 21:58:39,13-04-2025 21:58:40,1.232s,FAILED
,,,,,,,
Test Cases/WEB/TC01_Load Page,,,,13-04-2025 21:58:40,13-04-2025 21:58:40,0.049s,FAILED
"DATA BINDING - {""(Default) inPut..."":"""",""(Default) phone..."":""0"",""(Default) otpLo..."":""0"",""(Default) comme..."":""[]"",""(Default) nameO..."":""""}",,,,,,,
"setWebDriverPreferencesProperty(""args"", [""--disable-features=SafeBrowsing,PasswordLeakToggleMove""])",,,,13-04-2025 21:58:40,13-04-2025 21:58:40,0.001s,PASSED
"openBrowser("""")",,,,13-04-2025 21:58:40,13-04-2025 21:58:40,0.012s,FAILED
