Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_06,Chrome 135.0.0.0,,,12-04-2025 22:00:53,12-04-2025 22:01:27,33.621s,PASSED
,,,,,,,
Test Cases/WEB/TC30_Login_30,Chrome 135.0.0.0,,,12-04-2025 22:00:53,12-04-2025 22:01:01,7.592s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 22:00:54,12-04-2025 22:00:55,1.619s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 22:00:55,12-04-2025 22:00:58,2.554s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 22:00:58,12-04-2025 22:00:59,0.786s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 22:00:59,12-04-2025 22:00:59,0.878s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 22:00:59,12-04-2025 22:01:00,0.365s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Chrome 135.0.0.0,,,12-04-2025 22:01:00,12-04-2025 22:01:01,1.002s,PASSED
closeBrowser(),Chrome 135.0.0.0,,,12-04-2025 22:01:01,12-04-2025 22:01:01,0.207s,PASSED
,,,,,,,
Test Cases/WEB/TC29_Login_29,Chrome 135.0.0.0,,,12-04-2025 22:01:01,12-04-2025 22:01:08,6.518s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 22:01:01,12-04-2025 22:01:02,0.718s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 22:01:02,12-04-2025 22:01:04,2.503s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 22:01:04,12-04-2025 22:01:05,0.787s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 22:01:05,12-04-2025 22:01:06,0.831s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 22:01:06,12-04-2025 22:01:06,0.547s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Chrome 135.0.0.0,,,12-04-2025 22:01:06,12-04-2025 22:01:07,0.902s,PASSED
closeBrowser(),Chrome 135.0.0.0,,,12-04-2025 22:01:07,12-04-2025 22:01:08,0.195s,PASSED
,,,,,,,
Test Cases/WEB/TC28_Login_28,Chrome 135.0.0.0,,,12-04-2025 22:01:08,12-04-2025 22:01:14,6.393s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 22:01:08,12-04-2025 22:01:08,0.695s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 22:01:08,12-04-2025 22:01:11,2.505s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 22:01:11,12-04-2025 22:01:12,0.769s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 22:01:12,12-04-2025 22:01:12,0.759s,PASSED
