Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_05,Chrome 135.0.0.0,,,12-04-2025 22:01:31,12-04-2025 22:02:03,32.196s,PASSED
,,,,,,,
Test Cases/WEB/TC25_Login_25,Chrome 135.0.0.0,,,12-04-2025 22:01:31,12-04-2025 22:01:39,7.194s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 22:01:32,12-04-2025 22:01:33,1.548s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 22:01:33,12-04-2025 22:01:36,2.535s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 22:01:36,12-04-2025 22:01:36,0.742s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 22:01:36,12-04-2025 22:01:37,0.679s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 22:01:37,12-04-2025 22:01:37,0.359s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Chrome 135.0.0.0,,,12-04-2025 22:01:37,12-04-2025 22:01:38,0.946s,PASSED
closeBrowser(),Chrome 135.0.0.0,,,12-04-2025 22:01:38,12-04-2025 22:01:39,0.192s,PASSED
,,,,,,,
Test Cases/WEB/TC23_Login_23,Chrome 135.0.0.0,,,12-04-2025 22:01:39,12-04-2025 22:01:45,5.988s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 22:01:39,12-04-2025 22:01:39,0.688s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 22:01:39,12-04-2025 22:01:42,2.560s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 22:01:42,12-04-2025 22:01:43,0.717s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 22:01:43,12-04-2025 22:01:43,0.683s,PASSED
