Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_11,,,,13-04-2025 21:53:09,13-04-2025 21:53:10,1.218s,FAILED
,,,,,,,
Test Cases/WEB/TC01_Load Page,,,,13-04-2025 21:53:10,13-04-2025 21:53:10,0.047s,FAILED
"DATA BINDING - {""(Default) inPut..."":"""",""(Default) phone..."":""0"",""(Default) otpLo..."":""0"",""(Default) comme..."":""[]"",""(Default) nameO..."":""""}",,,,,,,
"setWebDriverPreferencesProperty(""args"", [""--disable-features=SafeBrowsing,PasswordLeakToggleMove""])",,,,13-04-2025 21:53:10,13-04-2025 21:53:10,0.001s,PASSED
"openBrowser("""")",,,,13-04-2025 21:53:10,13-04-2025 21:53:10,0.014s,FAILED
