Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_10,Chrome 135.0.0.0,,,12-04-2025 22:02:18,12-04-2025 22:02:52,33.423s,PASSED
,,,,,,,
Test Cases/WEB/TC46_Login_46,Chrome 135.0.0.0,,,12-04-2025 22:02:18,12-04-2025 22:02:26,7.203s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 22:02:19,12-04-2025 22:02:20,1.520s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 22:02:20,12-04-2025 22:02:23,2.488s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 22:02:23,12-04-2025 22:02:23,0.823s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 22:02:23,12-04-2025 22:02:24,0.775s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 22:02:24,12-04-2025 22:02:25,0.372s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Chrome 135.0.0.0,,,12-04-2025 22:02:25,12-04-2025 22:02:25,0.823s,PASSED
closeBrowser(),Chrome 135.0.0.0,,,12-04-2025 22:02:25,12-04-2025 22:02:26,0.217s,PASSED
,,,,,,,
Test Cases/WEB/TC47_Login_47,Chrome 135.0.0.0,,,12-04-2025 22:02:26,12-04-2025 22:02:32,6.646s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 22:02:26,12-04-2025 22:02:26,0.701s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 22:02:26,12-04-2025 22:02:29,2.505s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 22:02:29,12-04-2025 22:02:30,0.922s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 22:02:30,12-04-2025 22:02:31,0.873s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 22:02:31,12-04-2025 22:02:31,0.488s,PASSED
