Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,,,,13-04-2025 20:37:04,13-04-2025 20:37:06,1.376s,FAILED
,,,,,,,
Test Cases/WEB/TC05_Login 05,,,,13-04-2025 20:37:05,13-04-2025 20:37:05,0.750s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,13-04-2025 20:37:05,13-04-2025 20:37:05,0.417s,FAILED
,,,,,,,
Test Cases/WEB/TC04_Login 04,,,,13-04-2025 20:37:05,13-04-2025 20:37:05,0.048s,FAILED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
"openBrowser("""")",,,,13-04-2025 20:37:05,13-04-2025 20:37:05,0.020s,FAILED
,,,,,,,
Test Cases/WEB/TC03_Login 03,,,,13-04-2025 20:37:05,13-04-2025 20:37:05,0.045s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,13-04-2025 20:37:05,13-04-2025 20:37:05,0.016s,FAILED
,,,,,,,
Test Cases/WEB/TC02_Login 02,,,,13-04-2025 20:37:05,13-04-2025 20:37:06,0.045s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,13-04-2025 20:37:05,13-04-2025 20:37:06,0.021s,FAILED
,,,,,,,
Test Cases/WEB/TC01_Load Page,,,,13-04-2025 20:37:06,13-04-2025 20:37:06,0.251s,FAILED
"DATA BINDING - {""(Default) inPut..."":"""",""(Default) phone..."":""0"",""(Default) otpLo..."":""0"",""(Default) comme..."":""[]"",""(Default) nameO..."":""""}",,,,,,,
"setWebDriverPreferencesProperty(""args"", [""--disable-features=SafeBrowsing,PasswordLeakToggleMove""])",,,,13-04-2025 20:37:06,13-04-2025 20:37:06,0.005s,PASSED
"openBrowser("""")",,,,13-04-2025 20:37:06,13-04-2025 20:37:06,0.015s,FAILED
