Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_10,Chrome 135.0.0.0,,,12-04-2025 21:58:05,12-04-2025 21:58:37,32.644s,PASSED
,,,,,,,
Test Cases/WEB/TC46_Login_46,Chrome 135.0.0.0,,,12-04-2025 21:58:05,12-04-2025 21:58:12,7.460s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 21:58:05,12-04-2025 21:58:07,1.548s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 21:58:07,12-04-2025 21:58:09,2.587s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 21:58:09,12-04-2025 21:58:10,0.810s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 21:58:10,12-04-2025 21:58:11,0.652s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 21:58:11,12-04-2025 21:58:11,0.374s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Chrome 135.0.0.0,,,12-04-2025 21:58:11,12-04-2025 21:58:12,1.098s,PASSED
closeBrowser(),Chrome 135.0.0.0,,,12-04-2025 21:58:12,12-04-2025 21:58:12,0.210s,PASSED
,,,,,,,
Test Cases/WEB/TC47_Login_47,Chrome 135.0.0.0,,,12-04-2025 21:58:12,12-04-2025 21:58:19,6.405s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 21:58:12,12-04-2025 21:58:13,0.697s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 21:58:13,12-04-2025 21:58:16,2.459s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 21:58:16,12-04-2025 21:58:16,0.824s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 21:58:16,12-04-2025 21:58:17,0.778s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 21:58:17,12-04-2025 21:58:18,0.482s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/button_Login""))",Chrome 135.0.0.0,,,12-04-2025 21:58:18,12-04-2025 21:58:19,0.950s,PASSED
closeBrowser(),Chrome 135.0.0.0,,,12-04-2025 21:58:19,12-04-2025 21:58:19,0.197s,PASSED
,,,,,,,
Test Cases/WEB/TC48_Login_48,Chrome 135.0.0.0,,,12-04-2025 21:58:19,12-04-2025 21:58:25,6.276s,PASSED
"openBrowser("""")",Chrome 135.0.0.0,,,12-04-2025 21:58:19,12-04-2025 21:58:20,0.751s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 135.0.0.0,,,12-04-2025 21:58:20,12-04-2025 21:58:22,2.477s,PASSED
"click(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 135.0.0.0,,,12-04-2025 21:58:22,12-04-2025 21:58:23,0.742s,PASSED
"setText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 135.0.0.0,,,12-04-2025 21:58:23,12-04-2025 21:58:23,0.682s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Website/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 135.0.0.0,,,12-04-2025 21:58:23,12-04-2025 21:58:24,0.469s,PASSED
