Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,,,,18-04-2025 01:25:42,18-04-2025 01:25:44,1.441s,FAILED
,,,,,,,
Test Cases/WEB/TC05_Login 05,,,,18-04-2025 01:25:42,18-04-2025 01:25:43,0.703s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,18-04-2025 01:25:43,18-04-2025 01:25:43,0.452s,FAILED
,,,,,,,
Test Cases/WEB/TC04_Login 04,,,,18-04-2025 01:25:43,18-04-2025 01:25:43,0.123s,FAILED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
"openBrowser("""")",,,,18-04-2025 01:25:43,18-04-2025 01:25:43,0.023s,FAILED
,,,,,,,
Test Cases/WEB/TC03_Login 03,,,,18-04-2025 01:25:43,18-04-2025 01:25:43,0.056s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,18-04-2025 01:25:43,18-04-2025 01:25:43,0.026s,FAILED
,,,,,,,
Test Cases/WEB/TC02_Login 02,,,,18-04-2025 01:25:43,18-04-2025 01:25:43,0.044s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,18-04-2025 01:25:43,18-04-2025 01:25:43,0.017s,FAILED
,,,,,,,
Test Cases/WEB/TC01_Load Page,,,,18-04-2025 01:25:43,18-04-2025 01:25:44,0.290s,FAILED
"DATA BINDING - {""(Default) inPut..."":"""",""(Default) phone..."":""0"",""(Default) otpLo..."":""0"",""(Default) comme..."":""[]"",""(Default) nameO..."":""""}",,,,,,,
"setWebDriverPreferencesProperty(""args"", [""--disable-features=SafeBrowsing,PasswordLeakToggleMove""])",,,,18-04-2025 01:25:44,18-04-2025 01:25:44,0.004s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",,,,18-04-2025 01:25:44,18-04-2025 01:25:44,0.016s,FAILED
