Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_01,,,,18-04-2025 01:20:48,18-04-2025 01:20:49,1.276s,FAILED
,,,,,,,
Test Cases/WEB/TC05_Login 05,,,,18-04-2025 01:20:48,18-04-2025 01:20:49,0.679s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,18-04-2025 01:20:48,18-04-2025 01:20:49,0.438s,FAILED
,,,,,,,
Test Cases/WEB/TC04_Login 04,,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.104s,FAILED
"DATA BINDING - {""(Default) varia..."":""""}",,,,,,,
"openBrowser("""")",,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.017s,FAILED
,,,,,,,
Test Cases/WEB/TC03_Login 03,,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.038s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.019s,FAILED
,,,,,,,
Test Cases/WEB/TC02_Login 02,,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.033s,FAILED
"DATA BINDING - {""(Default) noNam..."":""""}",,,,,,,
"openBrowser("""")",,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.015s,FAILED
,,,,,,,
Test Cases/WEB/TC01_Load Page,,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.197s,FAILED
"DATA BINDING - {""(Default) inPut..."":"""",""(Default) phone..."":""0"",""(Default) otpLo..."":""0"",""(Default) comme..."":""[]"",""(Default) nameO..."":""""}",,,,,,,
"setWebDriverPreferencesProperty(""args"", [""--disable-features=SafeBrowsing,PasswordLeakToggleMove""])",,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.003s,PASSED
"openBrowser(""https://katalon-demo-cura.herokuapp.com/"")",,,,18-04-2025 01:20:49,18-04-2025 01:20:49,0.013s,FAILED
